TLD,AbuseDomains,TotalDomainCount,abusePercent
memorial,2,714,0.0028011204481792717
tube,8,2862,0.002795248078266946
tech,602,220630,0.002728550061188415
tz,41,15032,0.0027275146354443854
af,15,5549,0.0027031897639214274
bw,18,6659,0.0027031085748610902
realty,6,2234,0.0026857654431512983
physio,3,1122,0.00267379679144385
foundation,35,13132,0.0026652452025586353
navy,2,752,0.0026595744680851063
investments,12,4516,0.002657218777679362
kn,2,756,0.0026455026455026454
xn--4gbrim,1,378,0.0026455026455026454
durban,6,2290,0.0026200873362445414
gop,3,1147,0.0026155187445510027
ge,90,34698,0.002593809441466367
allfinanz,2,773,0.00258732212160414
courses,5,1937,0.002581311306143521
ci,22,8580,0.002564102564102564
markets,2,787,0.0025412960609911056
horse,6,2378,0.002523128679562658
ng,245,97154,0.002521769561726743
rest,5,1987,0.0025163563160543532
voting,2,797,0.002509410288582183
delivery,14,5591,0.002504024324807727
gripe,3,1210,0.0024793388429752068
gratis,11,4439,0.0024780355936021626
cv,5,2018,0.002477700693756194
fund,35,14141,0.0024750724842656107
crs,1,408,0.0024509803921568627
gives,4,1636,0.0024449877750611247
ps,18,7395,0.002434077079107505
yoga,23,9453,0.0024330900243309003
xn--3bst00m,4,1644,0.0024330900243309003
tax,16,6633,0.0024121815166591285
agency,152,63431,0.002396304645993284
gf,2,836,0.0023923444976076554
iq,4,1672,0.0023923444976076554
md,53,22343,0.0023721075952199792
luxury,2,847,0.0023612750885478157
review,205,86939,0.002357975131989096
org,24095,10224097,0.002356687343635335
codes,20,8495,0.002354326074161271
chat,29,12367,0.0023449502708821866
ck,3,1293,0.002320185614849188
sl,4,1731,0.002310803004043905
accountants,4,1733,0.002308136180034622
cab,7,3033,0.0023079459281239697
garden,5,2180,0.0022935779816513763
team,54,23574,0.0022906592008144567
pink,16,6989,0.002289311775647446
studio,105,46298,0.0022679165406713033
sm,5,2210,0.0022624434389140274
dj,17,7515,0.002262142381902861
ceo,6,2664,0.0022522522522522522
audi,3,1333,0.002250562640660165
health,21,9367,0.002241913099177965
hk,544,242958,0.0022390701273471134
vote,6,2687,0.002232973576479345
eu,8037,3607044,0.0022281402722007272
salon,5,2247,0.0022251891410769915
observer,2,903,0.0022148394241417496
how,5,2266,0.002206531332744925
fit,30,13601,0.002205720167634733
blog,400,181997,0.0021978384259081192
si,258,117771,0.00219069210586647
et,6,2760,0.002173913043478261
tours,23,10608,0.0021681749622926095
lat,7,3235,0.0021638330757341576
my,409,190651,0.002145281168207877
mom,5,2333,0.0021431633090441492
tickets,2,934,0.0021413276231263384
sarl,2,934,0.0021413276231263384
games,35,16499,0.0021213406873143827
cg,3,1419,0.0021141649048625794
gmx,1,473,0.0021141649048625794
mo,6,2845,0.00210896309314587
sexy,14,6641,0.0021081162475530793
events,51,24234,0.0021044813072542707
sb,3,1432,0.002094972067039106
lc,8,3823,0.00209259743656814
vodka,3,1434,0.0020920502092050207
cash,29,13906,0.0020854307493168417
soy,3,1443,0.002079002079002079
mba,6,2907,0.0020639834881320948
vision,14,6791,0.002061552054189368
enterprises,13,6314,0.0020589166930630345
express,15,7296,0.002055921052631579
country,2,973,0.0020554984583761563
forsale,14,6815,0.002054292002934703
limited,11,5371,0.0020480357475330477
shiksha,2,978,0.002044989775051125
wiki,38,18596,0.0020434502043450205
kg,23,11298,0.0020357585413347495
productions,15,7383,0.0020316944331572532
design,177,87277,0.0020280257112412206
black,8,3947,0.0020268558398783888
ve,193,95509,0.002020751971018438
ao,10,4960,0.0020161290322580645
money,22,10977,0.0020041905803042724
be,2997,1495933,0.0020034319718864415
ni,12,5992,0.0020026702269692926
sv,17,8499,0.002000235321802565
run,30,15043,0.0019942830552416406
college,7,3511,0.0019937339789233835
services,128,64430,0.001986652180661183
st,26,13142,0.0019783898949931517
gy,6,3044,0.0019710906701708277
lol,13,6596,0.0019708914493632504
sg,346,175791,0.001968246383489485
academy,57,29034,0.0019632155404009093
fj,6,3069,0.0019550342130987292
wine,27,14083,0.0019172051409500816
xn--5tzm5g,1,523,0.0019120458891013384
joburg,6,3150,0.0019047619047619048
gp,4,2100,0.0019047619047619048
tokyo,207,108701,0.00190430630812964
ba,41,21598,0.0018983239188813778
sn,9,4747,0.0018959342742784916
by,229,120982,0.0018928435635053148
vi,3,1591,0.0018856065367693275
xn--c1avg,2,1061,0.001885014137606032
com,264118,140540614,0.0018793001715504104
li,96,51099,0.0018787060412141137
app,712,379114,0.0018780630628254299
zone,46,24526,0.0018755606295360026
do,44,23551,0.0018682858477347033
mz,10,5429,0.001841959845275373
finance,15,8150,0.0018404907975460123
fail,7,3806,0.0018392012611665792
gl,10,5456,0.0018328445747800588
trading,2,1094,0.0018281535648994515
associates,6,3284,0.0018270401948842874
fans,3,1648,0.0018203883495145632
schule,5,2748,0.001819505094614265
dog,21,11545,0.001818969250757904
gi,4,2207,0.0018124150430448573
taipei,4,2216,0.0018050541516245488
gal,9,4990,0.0018036072144288577
lb,8,4437,0.001803020058598152
ryukyu,3,1681,0.001784651992861392
sd,7,3927,0.0017825311942959
xn--80aswg,2,1123,0.0017809439002671415
pictures,15,8451,0.001774937877174299
love,52,29313,0.0017739569474294681
am,56,31649,0.0017694081961515372
xn--p1acf,50,28270,0.0017686593562079944
support,40,22754,0.0017579326711786938
sydney,14,7966,0.0017574692442882249
xn--6qq986b3xl,52,29605,0.0017564600574227326
desi,7,4039,0.0017331022530329288
digital,63,36459,0.0017279684028634905
xn--czru2d,29,16801,0.0017260877328730433
capetown,8,4649,0.0017208001720800173
film,7,4092,0.001710654936461388
family,32,18712,0.0017101325352714834
ninja,57,33409,0.00170612709150229
cleaning,4,2377,0.0016827934371055953
us,3440,2055557,0.001673512337531871
industries,7,4191,0.0016702457647339538
wf,3,1800,0.0016666666666666668
vn,689,413627,0.0016657519939462366
marketing,35,21073,0.0016608930859393536
abudhabi,1,603,0.001658374792703151
help,21,12814,0.0016388325269236772
group,105,64498,0.0016279574560451487
engineer,5,3076,0.001625487646293888
style,19,11721,0.001621022097090692
ventures,20,12360,0.0016181229773462784
tk,37511,23183569,0.0016179993684320132
hosting,6,3710,0.0016172506738544475
jo,7,4346,0.0016106764841233318
xn--vuq861b,4,2489,0.0016070711128967456
coach,23,14375,0.0016
host,179,111909,0.0015995138907505205
exposed,5,3128,0.00159846547314578
gold,14,8773,0.0015958053117519663
cafe,24,15059,0.0015937313234610532
moscow,29,18224,0.0015913081650570677
town,6,3778,0.0015881418740074113
social,38,24150,0.0015734989648033125
care,33,21035,0.0015688138816258616
zm,8,5125,0.0015609756097560976
contractors,6,3856,0.0015560165975103733
engineering,10,6445,0.0015515903801396431
bs,4,2578,0.0015515903801396431
az,37,23863,0.0015505175376105268
builders,6,3880,0.0015463917525773195
partners,12,7825,0.0015335463258785943
ly,24,15661,0.0015324691909839728
news,90,58759,0.001531680253237802
pizza,10,6539,0.001529285823520416
coop,12,7849,0.0015288571792585043
city,43,28267,0.0015212084763151377
uz,99,65218,0.0015179858321322335
condos,3,1985,0.0015113350125944584
surf,4,2647,0.001511144692104269
seat,1,662,0.0015105740181268882
bn,2,1324,0.0015105740181268882
mv,7,4644,0.0015073212747631353
bh,7,4690,0.0014925373134328358
pg,3,2011,0.0014917951268025858
rocks,159,106788,0.0014889313406000674
xn--ngbc5azd,1,673,0.0014858841010401188
pa,15,10097,0.0014855897791423195
repair,10,6764,0.0014784151389710231
game,3,2030,0.001477832512315271
edu,11,7464,0.0014737406216505896
study,2,1368,0.0014619883040935672
university,10,6847,0.0014604936468526361
hockey,2,1372,0.0014577259475218659
th,101,69375,0.0014558558558558558
tt,6,4122,0.001455604075691412
eg,15,10321,0.0014533475438426508
show,14,9708,0.001442109600329625
miami,13,9046,0.001437099270395755
football,7,4886,0.0014326647564469914
alsace,3,2094,0.0014326647564469914
email,118,82531,0.0014297657849777659
eus,13,9094,0.0014295139652518143
casino,7,4901,0.0014282799428688023
py,28,19706,0.0014208870394803613
cam,9,6336,0.0014204545454545455
education,33,23349,0.0014133367596042656
supply,7,4955,0.0014127144298688194
ir,1171,830610,0.001409807250093305
mm,6,4257,0.0014094432699083862
rentals,17,12068,0.0014086841233012927
nu,355,252937,0.0014035115463534398
consulting,36,25690,0.0014013234721681588
flights,3,2142,0.0014005602240896359
pl,3279,2343060,0.001399451998668408
za,1587,1135207,0.0013979829229382834
legal,18,12960,0.001388888888888889
pe,132,95665,0.0013798149793550411
school,18,13048,0.0013795217657878603
fishing,2,1450,0.001379310344827586
institute,16,11668,0.0013712718546451835
limo,3,2195,0.001366742596810934
ie,348,255214,0.0013635615601025023
fashion,11,8077,0.0013618917915067476
systems,39,28800,0.0013541666666666667
gg,19,14095,0.0013479957431713375
soccer,4,2970,0.0013468013468013469
rw,5,3734,0.001339046598821639
cloud,240,179320,0.0013383894713361588
sale,38,28427,0.0013367573081929152
hiphop,1,751,0.0013315579227696406
bo,15,11269,0.001331085278196823
vlaanderen,8,6038,0.001324942033786022
ink,52,39350,0.0013214739517153748
ke,94,71410,0.0013163422489847361
deals,11,8369,0.0013143744772374237
today,122,93090,0.001310559673434311
one,91,69560,0.0013082231167337551
solutions,106,81118,0.0013067383318129146
management,14,10746,0.0013028103480364787
mk,35,26970,0.0012977382276603633
properties,18,13947,0.001290600129060013
dating,4,3131,0.0012775471095496647
vc,21,16504,0.0012724188075618032
xn--g2xx48c,2,1575,0.0012698412698412698
auction,5,3959,0.001262945188178833
fitness,13,10330,0.0012584704743465634
io,572,456454,0.0012531383228101846
pr,6,4791,0.0012523481527864746
tr,462,369771,0.0012494219395247329
moda,4,3202,0.0012492192379762648
ovh,73,58451,0.0012489093428683855
br,4300,3443716,0.001248651166356343
sr,4,3206,0.0012476606363069245
lt,211,169331,0.0012460801625219244
gt,21,16916,0.0012414282336249704
cool,22,17750,0.0012394366197183099
sz,2,1617,0.0012368583797155227
report,8,6468,0.0012368583797155227
il,289,234277,0.0012335824686162107
mortgage,5,4060,0.0012315270935960591
rehab,2,1627,0.001229256299938537
bar,7,5698,0.0012285012285012285
cards,7,5745,0.0012184508268059183
kyoto,1,821,0.001218026796589525
download,73,60372,0.0012091698138209767
exchange,14,11601,0.001206792517886389
kitchen,8,6631,0.0012064545317448348
brussels,9,7461,0.0012062726176115801
coffee,23,19079,0.0012055139158236804
jewelry,4,3330,0.0012012012012012011
farm,19,15823,0.001200783669342097
mil,2,1666,0.0012004801920768306
dz,10,8355,0.0011968880909634949
company,79,66464,0.001188613384689456
press,39,32825,0.001188118811881188
dm,3,2530,0.0011857707509881424
it,3345,2836734,0.001179172950301297
ec,48,40736,0.001178318931657502
media,53,45029,0.0011770192542583668
law,11,9371,0.0011738341692455448
hn,9,7682,0.001171569903670919
xn--80adxhks,16,13671,0.0011703606173652256
boutique,10,8591,0.0011640088464672331
beer,15,12895,0.0011632415664986429
tc,9,7749,0.0011614401858304297
istanbul,13,11194,0.0011613364302304806
vegas,19,16461,0.0011542433631006623
creditcard,1,867,0.0011534025374855825
cymru,8,6958,0.0011497556769186547
red,32,27839,0.0011494665756672294
diet,2,1742,0.001148105625717566
ist,11,9581,0.001148105625717566
clothing,13,11332,0.0011471937875044123
srl,6,5235,0.001146131805157593
construction,8,6983,0.0011456394099957038
bd,40,34946,0.0011446231328335146
win,289,253316,0.0011408675330417345
pf,2,1754,0.0011402508551881414
guide,19,16713,0.001136839585951056
works,20,17615,0.0011353959693443088
versicherung,2,1766,0.0011325028312570782
dentist,4,3557,0.001124543154343548
photos,24,21525,0.0011149825783972125
lease,2,1805,0.00110803324099723
bank,3,2708,0.0011078286558345643
pub,26,23648,0.0010994587280108254
cat,119,108400,0.0010977859778597786
vin,6,5476,0.001095690284879474
dvag,3,2738,0.001095690284879474
tw,2940,2688207,0.0010936657779702234
ma,72,66129,0.0010887810189175702
dance,8,7372,0.0010851871947911015
nc,6,5536,0.001083815028901734
reviews,20,18598,0.0010753844499408539
organic,2,1860,0.001075268817204301
gallery,19,17727,0.0010718113612004287
name,137,128268,0.001068076215423956
mq,1,942,0.0010615711252653928
cd,6,5656,0.0010608203677510608
training,20,18856,0.0010606703436571913
barcelona,6,5664,0.001059322033898305
church,25,23749,0.0010526759021432482
hu,773,735066,0.0010516062503231002
ai,50,47963,0.00104247023747472
villas,2,1922,0.001040582726326743
haus,6,5777,0.0010386013501817552
gov,6,5796,0.0010351966873706005
wales,13,12662,0.001026694045174538
golf,9,8880,0.0010135135135135136
lv,112,110612,0.0010125483672657578
immobilien,7,6921,0.0010114145354717526
bike,16,15881,0.0010074932309048548
global,46,45846,0.0010033590716747372
democrat,1,999,0.001001001001001001
xn--80asehdb,3,3000,0.001
taxi,6,6037,0.0009938711280437303
rs,101,101712,0.0009929998426930942
camera,4,4058,0.0009857072449482504
international,24,24598,0.0009756890804130417
guitars,1,1025,0.000975609756097561
lk,62,63562,0.0009754255687360372
ski,5,5155,0.0009699321047526673
bio,15,15498,0.0009678668215253581
restaurant,8,8290,0.0009650180940892642
gr,381,396191,0.0009616573824241338
bg,57,59325,0.0009608091024020227
computer,5,5217,0.0009584052137243627
menu,5,5233,0.0009554748710108924
hr,93,97504,0.0009538070233016081
software,14,14757,0.0009487023107677713
photo,17,18002,0.0009443395178313521
blackfriday,1,1061,0.000942507068803016
xn--p1ai,656,696859,0.0009413669049262477
video,17,18410,0.0009234111895708854
clinic,7,7596,0.0009215376513954713
direct,11,12034,0.0009140767824497258
audio,5,5480,0.0009124087591240876
tienda,2,2196,0.0009107468123861566
sy,9,9940,0.0009054325955734407
singles,3,3323,0.0009027986758952753
earth,9,9978,0.0009019843656043296
vet,6,6659,0.0009010361916203634
holdings,5,5557,0.0008997660608241857
fish,4,4464,0.0008960573476702509
je,5,5581,0.0008958967926894822
onl,4,4487,0.0008914642299977714
tires,1,1123,0.0008904719501335708
xin,109,122586,0.0008891716835527712
qa,16,18015,0.0008881487649181238
watch,8,9064,0.00088261253309797
gs,8,9077,0.0008813484631486173
graphics,6,6813,0.0008806693086745927
eco,2,2273,0.0008798944126704796
ooo,281,320135,0.0008777546972371031
expert,30,34235,0.0008762961881115817
toys,4,4569,0.0008754650908295032
sa,47,53687,0.0008754447072848176
ch,1642,1889737,0.0008689039797601465
bzh,7,8079,0.0008664438668151999
cy,12,13873,0.0008649895480429612
lgbt,2,2329,0.0008587376556462001
poker,3,3507,0.000855431993156544
furniture,2,2340,0.0008547008547008547
as,12,14051,0.0008540317415130596
capital,12,14058,0.0008536064874093043
vip,650,762674,0.000852264532421454
travel,16,18891,0.0008469641628288603
gifts,3,3577,0.0008386916410399776
house,16,19158,0.0008351602463722727
sk,320,383858,0.000833641607052608
xn--90ais,8,9622,0.0008314279775514446
is,50,60206,0.0008304820117596253
mc,3,3659,0.0008198961464881115
trade,81,99043,0.0008178266005674303
date,70,85711,0.0008166979734223146
insure,4,4901,0.0008161599673536013
xn--j1amh,6,7353,0.0008159934720522236
reise,1,1226,0.0008156606851549756
ye,1,1226,0.0008156606851549756
diamonds,2,2453,0.0008153281695882593
apartments,3,3685,0.0008141112618724559
bingo,1,1243,0.0008045052292839903
technology,25,31154,0.0008024651730114913
community,11,13715,0.0008020415603353991
career,1,1248,0.0008012820512820513
financial,4,5042,0.0007933359777865926
ua,439,554094,0.0007922843416460023
quebec,7,8843,0.0007915865656451431
yokohama,4,5074,0.0007883326763894363
tv,356,452331,0.0007870342735739978
theater,1,1273,0.0007855459544383347
au,2265,2897288,0.0007817655683521969
tm,13,16680,0.0007793764988009592
feedback,2,2571,0.0007779074290159471
co,1736,2235320,0.0007766225864753145
holiday,4,5151,0.0007765482430596001
ky,5,6446,0.0007756748371082842
re,20,25848,0.0007737542556484061
party,44,57040,0.0007713884992987377
equipment,4,5201,0.0007690828686791001
uy,54,70334,0.000767765234452754
xn--fiqs8s,156,203613,0.0007661593316733215
ee,88,115259,0.0007634978613383771
christmas,1,1310,0.0007633587786259542
sucks,6,7869,0.0007624857033930614
flowers,1,1315,0.0007604562737642585
photography,38,50004,0.0007599392048636109
paris,15,20171,0.0007436418620792226
tn,30,40565,0.0007395538025391348
cr,12,16247,0.0007385978949959993
vacations,3,4139,0.000724812756704518
land,11,15302,0.0007188602797019997
fr,2329,3272585,0.0007116698267577465
bet,14,19692,0.000710948608572009
cz,870,1234447,0.0007047690180299357
fo,3,4319,0.0006946052326927529
dk,902,1305156,0.0006911051245981323
plumbing,2,2896,0.0006906077348066298
movie,2,2905,0.0006884681583476765
science,41,60179,0.0006813007859884677
healthcare,6,8808,0.0006811989100817438
bb,1,1472,0.0006793478260869565
immo,10,15134,0.0006607638430025109
camp,4,6060,0.0006600660066006601
dental,5,7609,0.000657116572479958
ong,2,3085,0.0006482982171799027
ngo,2,3085,0.0006482982171799027
ax,2,3122,0.0006406149903907751
hospital,1,1566,0.0006385696040868455
supplies,2,3155,0.0006339144215530904
jetzt,5,7932,0.0006303580433686334
solar,4,6392,0.0006257822277847309
scot,7,11309,0.0006189760367848616
viajes,1,1616,0.0006188118811881188
xn--55qx5d,26,42241,0.0006155157311616675
accountant,21,34127,0.000615348551000674
place,3,4877,0.0006151322534344885
reisen,3,4900,0.0006122448979591836
tips,19,31167,0.0006096191484583053
directory,10,16497,0.0006061708189367764
es,1146,1898268,0.0006037082224427742
fi,267,442452,0.000603455290065363
mma,1,1658,0.0006031363088057901
gent,2,3357,0.0005957700327673518
property,2,3399,0.0005884083553986466
faith,19,32494,0.0005847233335384994
zw,21,36002,0.0005833009277262374
guru,35,60008,0.0005832555659245434
se,836,1437258,0.0005816631391162895
uk,6092,10595341,0.0005749696965864525
frl,8,13955,0.0005732712289501971
glass,2,3531,0.0005664117813650524
jp,804,1442160,0.0005574970877017806
ae,93,167816,0.0005541783858511704
catering,2,3650,0.000547945205479452
xn--9dbq2a,2,3661,0.0005462988254575252
uno,9,16490,0.000545785324439054
mobi,222,407473,0.0005448213746677694
ag,10,18467,0.0005415064710023285
careers,4,7464,0.0005359056806002144
surgery,1,1867,0.0005356186395286556
ca,1423,2663401,0.0005342792917776933
wien,8,15314,0.0005223978059292151
sex,4,7672,0.0005213764337851929
lawyer,6,11517,0.0005209690023443605
kr,509,978001,0.0005204493655936957
melbourne,4,7701,0.0005194130632385404
parts,3,5860,0.0005119453924914676
asia,134,263457,0.0005086219003480643
build,2,3941,0.0005074854097944684
saarland,2,3945,0.0005069708491761723
kw,2,3967,0.0005041593143433325
wang,62,123314,0.000502781517102681
lighting,3,5981,0.0005015883631499749
tattoo,1,2003,0.0004992511233150275
nz,337,675291,0.000499044115796005
discount,2,4040,0.0004950495049504951
xn--ses554g,94,198981,0.0004724069132228705
porn,5,10626,0.0004705439488048184
amsterdam,13,27768,0.00046816479400749064
xn--3e0b707e,8,17527,0.00045643863753066697
cricket,5,11039,0.00045293957786031344
kaufen,3,6712,0.0004469606674612634
realestate,9,20166,0.0004462957453138947
cruises,1,2261,0.0004422821760283061
radio,1,2270,0.0004405286343612335
ltd,199,455557,0.00043682788322866293
hamburg,10,23113,0.00043265694630727295
florist,1,2323,0.00043047783039173483
estate,4,9573,0.00041784184686096315
attorney,3,7184,0.0004175946547884187
jm,3,7185,0.0004175365344467641
nl,2125,5141206,0.0004133271454207437
shoes,2,4870,0.0004106776180698152
lu,34,84855,0.0004006835189440811
loan,659,1651546,0.00039902006968016635
mt,7,18126,0.0003861855897605649
nrw,6,15940,0.0003764115432873275
boston,5,13480,0.000370919881305638
at,468,1275158,0.0003670133426602821
voyage,1,2732,0.00036603221083455345
xn--6frz82g,1,2845,0.000351493848857645
adult,3,8667,0.00034614053305642093
bm,1,2931,0.000341180484476288
kiwi,5,14832,0.000337108953613808
stream,59,178944,0.0003297120886981402
xn--io0a7i,9,27831,0.00032338040314756927
berlin,16,49611,0.00032250912096107716
bargains,1,3103,0.0003222687721559781
ren,6,18939,0.0003168065895770632
ruhr,3,9768,0.0003071253071253071
london,15,50144,0.00029913848117421826
kred,2,6783,0.0002948547840188707
cheap,1,3408,0.00029342723004694836
racing,13,44456,0.00029242396976786035
no,203,705917,0.0002875692184775264
aero,10,35158,0.00028443028613686785
fun,65,238936,0.00027203937456055175
bayern,8,30387,0.0002632704775068286
de,3710,14580064,0.00025445704490734746
loans,1,3931,0.0002543881963876876
nyc,16,66489,0.00024064130908872143
swiss,4,17547,0.0002279591953040406
realtor,9,41318,0.00021782274069412846
webcam,9,41417,0.00021730207402757322
tel,16,77568,0.00020627062706270627
doctor,1,4861,0.0002057189878625797
art,10,49502,0.0002020120399175791
xn--mk1bu44c,1,5131,0.00019489378288832586
xn--fiq228c5hs,2,12960,0.00015432098765432098
llc,1,6490,0.00015408320493066256
shopping,1,6522,0.00015332720024532353
men,34,236806,0.00014357744313910965
koeln,4,27945,0.0001431383073895151
jobs,6,46485,0.00012907389480477574
hm,5,45563,0.0001097381647389329
cologne,1,10355,9.657170449058426e-05
xn--fiqz9s,19,201974,9.407151415528732e-05
gmbh,1,19782,5.0551005965018706e-05
xn--3ds443g,2,43941,4.551557770647004e-05
shop,22,537108,4.0960104857868435e-05
xn--czr694b,1,24962,4.0060892556686166e-05
